id,contentment
70950,neutral or discontent
76034,content
97177,neutral or discontent
51719,neutral or discontent
129201,content
35558,neutral or discontent
109398,content
65351,content
102482,neutral or discontent
17932,neutral or discontent
122276,neutral or discontent
57484,neutral or discontent
121069,content
41414,neutral or discontent
49839,neutral or discontent
48189,neutral or discontent
82445,content
108108,content
63984,neutral or discontent
105287,content
9385,neutral or discontent
25265,content
119844,neutral or discontent
33840,neutral or discontent
81815,neutral or discontent
83524,neutral or discontent
78999,content
46712,neutral or discontent
41188,neutral or discontent
5326,content
80176,neutral or discontent
46900,content
89219,neutral or discontent
17928,neutral or discontent
55425,content
88130,content
48354,content
105905,neutral or discontent
60943,content
101584,neutral or discontent
71388,content
77866,content
49223,content
106530,neutral or discontent
28676,content
39553,content
109597,neutral or discontent
62291,neutral or discontent
40177,content
33413,content
127599,neutral or discontent
66723,neutral or discontent
73698,neutral or discontent
27641,neutral or discontent
83891,neutral or discontent
51662,neutral or discontent
19833,neutral or discontent
63416,neutral or discontent
7645,neutral or discontent
86002,neutral or discontent
64457,neutral or discontent
109551,neutral or discontent
86553,neutral or discontent
17491,neutral or discontent
114667,content
59149,content
74892,content
15197,neutral or discontent
6867,neutral or discontent
111943,neutral or discontent
46720,neutral or discontent
67966,neutral or discontent
33341,content
50319,content
82927,content
14562,neutral or discontent
108335,neutral or discontent
97959,neutral or discontent
1026,content
26910,content
14054,content
109458,content
51772,neutral or discontent
15019,neutral or discontent
23664,neutral or discontent
6731,content
57753,content
29788,content
28336,content
2878,neutral or discontent
81675,neutral or discontent
50905,neutral or discontent
90850,neutral or discontent
29340,content
68731,neutral or discontent
115978,neutral or discontent
29829,content
82401,neutral or discontent
80083,neutral or discontent
42783,neutral or discontent
39020,content
46111,neutral or discontent
66327,content
43012,content
82776,neutral or discontent
48215,neutral or discontent
57441,neutral or discontent
55928,neutral or discontent
98446,neutral or discontent
121273,content
59385,neutral or discontent
27078,content
104661,content
111483,neutral or discontent
11558,content
83673,neutral or discontent
120382,content
82170,neutral or discontent
117397,content
59357,content
91983,neutral or discontent
119617,content
90639,content
59638,neutral or discontent
119074,content
13395,content
108871,neutral or discontent
104029,content
12025,content
42755,content
32936,neutral or discontent
53978,neutral or discontent
70029,content
96407,neutral or discontent
127129,neutral or discontent
113946,content
40606,neutral or discontent
7742,neutral or discontent
128529,neutral or discontent
80556,content
22155,content
56314,neutral or discontent
82206,content
68344,content
18464,content
129310,content
70613,content
8558,neutral or discontent
86840,content
122170,content
24839,neutral or discontent
87935,content
10735,neutral or discontent
118083,neutral or discontent
15189,neutral or discontent
116832,content
99415,content
111821,neutral or discontent
60089,content
51644,neutral or discontent
129771,neutral or discontent
5412,content
98444,neutral or discontent
39113,content
36518,content
119576,neutral or discontent
57227,neutral or discontent
107365,neutral or discontent
233,neutral or discontent
70295,neutral or discontent
110124,content
46382,neutral or discontent
121254,neutral or discontent
92891,content
57816,content
36109,neutral or discontent
1770,content
70400,content
75299,neutral or discontent
121885,neutral or discontent
93772,neutral or discontent
15078,content
17597,neutral or discontent
4927,content
32994,neutral or discontent
8213,neutral or discontent
53073,neutral or discontent
19789,neutral or discontent
84270,neutral or discontent
74151,neutral or discontent
117893,content
15249,content
114937,content
85861,content
17158,neutral or discontent
128028,neutral or discontent
3109,neutral or discontent
6332,content
129473,content
70511,content
8529,neutral or discontent
44101,neutral or discontent
20031,content
2103,neutral or discontent
33484,content
41094,content
76419,content
107120,neutral or discontent
109543,neutral or discontent
86687,neutral or discontent
106144,neutral or discontent
126649,content
5451,neutral or discontent
99445,content
44102,content
81994,neutral or discontent
54677,content
32338,content
56855,neutral or discontent
5993,content
100442,neutral or discontent
74164,neutral or discontent
59220,neutral or discontent
47033,content
51724,neutral or discontent
107246,content
102045,neutral or discontent
80996,neutral or discontent
55696,content
4705,neutral or discontent
124533,neutral or discontent
89236,content
27404,content
66299,content
90250,neutral or discontent
69604,neutral or discontent
62231,neutral or discontent
127414,neutral or discontent
83287,neutral or discontent
62159,neutral or discontent
89936,neutral or discontent
92960,content
96429,neutral or discontent
20254,neutral or discontent
80034,neutral or discontent
120984,neutral or discontent
58651,neutral or discontent
45129,neutral or discontent
64820,neutral or discontent
22529,neutral or discontent
117917,content
9639,neutral or discontent
91209,neutral or discontent
61396,neutral or discontent
12717,content
82915,neutral or discontent
120263,neutral or discontent
108065,content
122726,content
24852,neutral or discontent
117853,content
81119,content
16367,neutral or discontent
44186,content
113137,neutral or discontent
108721,content
93342,content
75321,content
49436,content
65748,content
102057,neutral or discontent
39468,neutral or discontent
28492,neutral or discontent
64793,neutral or discontent
18513,content
8799,content
92140,neutral or discontent
93211,neutral or discontent
66112,neutral or discontent
108771,content
35164,content
48375,neutral or discontent
46358,neutral or discontent
128508,neutral or discontent
98704,content
18274,content
20972,neutral or discontent
79500,content
93098,neutral or discontent
36733,content
45812,neutral or discontent
65598,content
61803,neutral or discontent
36818,neutral or discontent
32419,neutral or discontent
57621,content
7577,content
40216,neutral or discontent
89656,neutral or discontent
77601,content
13121,neutral or discontent
15903,content
24590,neutral or discontent
39616,neutral or discontent
31853,content
62199,neutral or discontent
70191,content
108648,neutral or discontent
30969,content
77620,neutral or discontent
83491,content
128941,content
22663,content
78836,neutral or discontent
85042,content
36786,neutral or discontent
43842,neutral or discontent
120292,neutral or discontent
70616,neutral or discontent
108944,neutral or discontent
109590,content
29471,neutral or discontent
10953,neutral or discontent
87170,content
40114,content
60959,neutral or discontent
286,content
99504,neutral or discontent
118938,neutral or discontent
28296,content
101005,content
51263,content
1507,content
72911,content
83439,neutral or discontent
39694,neutral or discontent
98976,neutral or discontent
28365,content
54710,content
65308,neutral or discontent
52434,neutral or discontent
36689,neutral or discontent
12776,neutral or discontent
94201,content
81388,neutral or discontent
116463,neutral or discontent
66179,content
88102,content
26949,content
124725,content
115731,neutral or discontent
99559,content
1307,content
79670,neutral or discontent
114149,neutral or discontent
13103,content
59222,content
94357,content
97449,content
125235,neutral or discontent
113769,neutral or discontent
36549,neutral or discontent
108169,content
94873,neutral or discontent
123289,content
20734,neutral or discontent
33889,neutral or discontent
74146,neutral or discontent
55240,neutral or discontent
23104,content
42011,content
115119,content
101659,content
93261,content
106610,neutral or discontent
91460,content
44817,content
115610,neutral or discontent
60041,content
92898,content
31018,neutral or discontent
81392,content
111950,content
80663,neutral or discontent
107035,content
121308,neutral or discontent
123342,neutral or discontent
32903,neutral or discontent
17667,content
6464,neutral or discontent
101707,content
7978,content
110803,neutral or discontent
95617,neutral or discontent
60591,neutral or discontent
54418,content
124866,neutral or discontent
51574,content
114082,content
35331,content
70468,content
119099,content
110397,neutral or discontent
108193,content
29278,neutral or discontent
98147,content
97689,neutral or discontent
20805,neutral or discontent
30441,content
62128,content
50959,neutral or discontent
3920,neutral or discontent
22989,content
111036,neutral or discontent
34805,neutral or discontent
68068,content
117139,neutral or discontent
118651,neutral or discontent
16985,content
85072,content
15670,content
68137,neutral or discontent
123164,content
36845,content
17451,content
45594,neutral or discontent
123709,neutral or discontent
118741,neutral or discontent
46265,neutral or discontent
103439,neutral or discontent
117757,neutral or discontent
23043,content
45009,neutral or discontent
10869,neutral or discontent
113642,neutral or discontent
36913,neutral or discontent
9209,neutral or discontent
110354,content
102344,neutral or discontent
66245,neutral or discontent
2852,neutral or discontent
125304,neutral or discontent
94889,content
119911,content
129586,neutral or discontent
58194,neutral or discontent
78323,content
51948,neutral or discontent
50288,neutral or discontent
9685,neutral or discontent
90835,neutral or discontent
29806,neutral or discontent
127821,neutral or discontent
100724,content
104066,neutral or discontent
45221,content
96106,content
5168,neutral or discontent
85301,neutral or discontent
27576,neutral or discontent
10806,neutral or discontent
82950,neutral or discontent
68820,content
41932,neutral or discontent
94120,neutral or discontent
19301,neutral or discontent
17606,content
17961,content
28871,content
56733,neutral or discontent
59118,neutral or discontent
90580,content
104013,neutral or discontent
58434,neutral or discontent
62768,neutral or discontent
37157,content
43179,content
104829,content
53842,content
16606,neutral or discontent
126600,content
74144,content
8920,neutral or discontent
106271,content
125172,neutral or discontent
62313,neutral or discontent
46105,content
77477,neutral or discontent
59887,content
10298,neutral or discontent
122646,neutral or discontent
119398,content
8223,content
514,content
103577,neutral or discontent
80697,content
129555,neutral or discontent
53107,neutral or discontent
75395,content
19580,neutral or discontent
77032,neutral or discontent
42198,content
6985,content
89822,neutral or discontent
4380,content
108923,neutral or discontent
76291,neutral or discontent
87842,neutral or discontent
98703,neutral or discontent
80641,neutral or discontent
107586,content
92882,content
45533,content
125911,neutral or discontent
86568,neutral or discontent
118847,neutral or discontent
102099,content
88925,content
89716,neutral or discontent
54873,content
4354,neutral or discontent
1609,neutral or discontent
46669,content
2420,content
86676,content
122412,content
112547,content
81539,neutral or discontent
44355,content
55564,content
81036,content
62565,content
74322,content
67090,neutral or discontent
51430,neutral or discontent
99815,content
3643,content
97188,neutral or discontent
38294,content
96883,neutral or discontent
31773,neutral or discontent
53367,neutral or discontent
5512,neutral or discontent
22172,neutral or discontent
92685,neutral or discontent
81531,neutral or discontent
64202,neutral or discontent
64306,content
17380,neutral or discontent
33631,neutral or discontent
109499,content
94745,content
126484,content
90246,neutral or discontent
109782,neutral or discontent
112610,content
72338,neutral or discontent
93939,neutral or discontent
126750,neutral or discontent
36975,content
3017,neutral or discontent
93973,neutral or discontent
69643,neutral or discontent
123218,neutral or discontent
122185,content
16656,neutral or discontent
57284,neutral or discontent
114246,content
84364,content
53261,neutral or discontent
69411,neutral or discontent
38637,content
125026,neutral or discontent
41620,content
38761,content
3189,neutral or discontent
26509,neutral or discontent
38521,content
11753,neutral or discontent
45683,content
23806,content
73308,content
17747,content
46329,neutral or discontent
27803,neutral or discontent
41993,content
20855,content
42032,content
42506,neutral or discontent
36484,neutral or discontent
33321,content
49440,content
117775,content
98812,content
113150,content
101662,neutral or discontent
76362,neutral or discontent
103160,content
6054,neutral or discontent
52694,neutral or discontent
81256,content
115026,content
31424,neutral or discontent
36154,neutral or discontent
73038,neutral or discontent
70922,content
6442,neutral or discontent
23792,neutral or discontent
62854,content
125922,neutral or discontent
101735,content
13793,content
45544,content
128499,neutral or discontent
75319,content
63062,neutral or discontent
69088,neutral or discontent
56055,neutral or discontent
23256,neutral or discontent
2766,content
88472,neutral or discontent
92733,content
8997,neutral or discontent
72815,neutral or discontent
37792,content
115023,content
127160,neutral or discontent
115148,neutral or discontent
43633,neutral or discontent
26473,neutral or discontent
42952,neutral or discontent
40592,neutral or discontent
120510,content
125418,neutral or discontent
18427,content
45697,neutral or discontent
55250,neutral or discontent
49711,neutral or discontent
41865,neutral or discontent
67501,neutral or discontent
92116,neutral or discontent
43629,neutral or discontent
19680,content
48176,neutral or discontent
107843,content
1878,content
76953,neutral or discontent
66370,content
790,content
41623,neutral or discontent
40956,neutral or discontent
79213,neutral or discontent
30364,content
64612,content
17057,content
96444,content
71624,neutral or discontent
54240,content
31294,neutral or discontent
118896,neutral or discontent
53750,neutral or discontent
32975,neutral or discontent
13179,content
120172,content
76099,neutral or discontent
50399,neutral or discontent
56284,content
80295,neutral or discontent
111883,neutral or discontent
22828,neutral or discontent
81352,neutral or discontent
3488,neutral or discontent
15894,content
51938,content
44254,neutral or discontent
26778,neutral or discontent
49352,neutral or discontent
94980,neutral or discontent
23486,neutral or discontent
30993,neutral or discontent
57676,content
104952,neutral or discontent
65054,neutral or discontent
61313,content
97778,neutral or discontent
10236,neutral or discontent
119678,neutral or discontent
5341,content
43504,neutral or discontent
68573,neutral or discontent
60207,neutral or discontent
67099,neutral or discontent
33312,neutral or discontent
22560,neutral or discontent
29634,neutral or discontent
119122,neutral or discontent
115503,neutral or discontent
82380,content
48131,content
124582,content
72750,content
123767,content
126632,content
13247,content
62234,neutral or discontent
64146,content
109855,neutral or discontent
103861,neutral or discontent
60754,content
98299,neutral or discontent
38584,neutral or discontent
84490,neutral or discontent
14875,content
48090,content
64324,content
68561,content
69472,neutral or discontent
117618,neutral or discontent
14928,neutral or discontent
8949,neutral or discontent
119765,neutral or discontent
54211,content
16797,neutral or discontent
39714,content
61650,content
66594,content
78968,content
118926,content
112399,content
81713,neutral or discontent
42402,neutral or discontent
14788,neutral or discontent
16996,neutral or discontent
59008,content
13602,content
98144,neutral or discontent
27994,neutral or discontent
116125,neutral or discontent
110235,content
104696,content
18662,neutral or discontent
50454,neutral or discontent
35298,neutral or discontent
17541,neutral or discontent
99655,neutral or discontent
63601,content
69836,neutral or discontent
57583,neutral or discontent
4987,content
94548,neutral or discontent
48059,neutral or discontent
14437,neutral or discontent
79398,neutral or discontent
48238,neutral or discontent
49494,content
21101,neutral or discontent
93160,neutral or discontent
40831,content
16414,neutral or discontent
67575,content
5675,neutral or discontent
83603,content
126503,neutral or discontent
97633,neutral or discontent
105253,content
128930,content
63692,content
10592,content
65236,content
75594,content
37492,neutral or discontent
89014,neutral or discontent
50921,neutral or discontent
108325,content
67894,neutral or discontent
70093,neutral or discontent
65907,content
44188,content
81300,neutral or discontent
98286,content
126924,neutral or discontent
649,neutral or discontent
70975,content
25240,neutral or discontent
122472,content
118617,neutral or discontent
95726,neutral or discontent
2072,neutral or discontent
74312,content
100888,neutral or discontent
117017,neutral or discontent
27978,neutral or discontent
70390,content
43795,neutral or discontent
41892,content
110075,neutral or discontent
20727,neutral or discontent
49704,content
81384,neutral or discontent
70802,neutral or discontent
117350,content
94917,neutral or discontent
72231,content
28781,content
122659,neutral or discontent
19566,neutral or discontent
14415,content
37387,content
2501,neutral or discontent
61751,neutral or discontent
60840,content
103475,content
93139,content
74739,neutral or discontent
37097,content
122896,content
118916,neutral or discontent
11694,content
127390,content
1613,neutral or discontent
96510,neutral or discontent
72817,neutral or discontent
87228,content
66857,neutral or discontent
16687,neutral or discontent
69974,content
123377,neutral or discontent
9749,neutral or discontent
36878,content
56188,neutral or discontent
117387,neutral or discontent
57805,neutral or discontent
109462,content
52980,content
48052,neutral or discontent
48042,neutral or discontent
81618,neutral or discontent
80276,neutral or discontent
101631,neutral or discontent
4280,neutral or discontent
35632,content
54547,neutral or discontent
81291,neutral or discontent
40654,content
113570,content
116585,content
22904,neutral or discontent
44712,content
70897,content
98484,neutral or discontent
13787,neutral or discontent
2395,neutral or discontent
72992,neutral or discontent
46484,content
100300,neutral or discontent
128704,content
5183,content
48103,neutral or discontent
42586,content
126730,neutral or discontent
108384,neutral or discontent
6411,neutral or discontent
85645,content
79909,neutral or discontent
34868,content
45586,content
31080,neutral or discontent
49890,content
87948,neutral or discontent
46125,content
116340,neutral or discontent
53751,content
106747,neutral or discontent
113965,neutral or discontent
112312,content
30090,neutral or discontent
102102,neutral or discontent
58114,neutral or discontent
38196,neutral or discontent
45505,neutral or discontent
15676,content
53222,content
11709,content
126578,neutral or discontent
108717,neutral or discontent
3603,neutral or discontent
14432,neutral or discontent
62166,neutral or discontent
62599,content
90908,neutral or discontent
124571,content
77718,neutral or discontent
120043,content
17861,content
19353,neutral or discontent
10040,content
22768,content
94685,content
67791,neutral or discontent
22732,content
82252,content
106307,content
84197,neutral or discontent
32730,content
68234,content
117375,content
107259,content
31221,neutral or discontent
87975,content
99142,content
88011,content
88606,neutral or discontent
78053,neutral or discontent
69423,neutral or discontent
107108,content
128133,neutral or discontent
42904,neutral or discontent
107409,neutral or discontent
12680,content
16259,content
5928,neutral or discontent
58975,content
53769,neutral or discontent
761,content
103941,neutral or discontent
70818,neutral or discontent
106043,neutral or discontent
23641,content
28450,neutral or discontent
41632,content
37388,content
78571,content
101927,content
40688,content
2165,content
5901,neutral or discontent
47292,content
57557,neutral or discontent
102271,content
99450,content
69575,neutral or discontent
56224,content
8510,content
75812,neutral or discontent
6125,content
5475,neutral or discontent
114113,content
56159,content
119742,neutral or discontent
114045,content
56168,neutral or discontent
57258,neutral or discontent
62152,neutral or discontent
31055,neutral or discontent
8777,content
69746,neutral or discontent
118637,neutral or discontent
21097,content
64301,content
28009,content
28711,content
126953,content
44049,neutral or discontent
67758,neutral or discontent
49081,neutral or discontent
77706,neutral or discontent
28237,content
59645,neutral or discontent
87248,content
20088,content
69217,content
88471,content
104153,content
24702,neutral or discontent
19174,content
118513,neutral or discontent
88757,content
1919,content
28099,content
82508,neutral or discontent
22647,content
121227,content
83513,neutral or discontent
120954,neutral or discontent
53450,content
20591,neutral or discontent
76388,neutral or discontent
111033,content
3226,content
15268,content
89816,content
34907,neutral or discontent
81556,neutral or discontent
49334,content
85780,content
11890,content
113957,content
56295,neutral or discontent
99126,neutral or discontent
67172,neutral or discontent
75117,content
32544,content
104741,content
76294,content
3478,content
119521,content
90907,neutral or discontent
128925,neutral or discontent
110943,neutral or discontent
129730,neutral or discontent
31263,neutral or discontent
59917,neutral or discontent
6398,neutral or discontent
87138,neutral or discontent
37914,content
95718,content
1799,content
73656,neutral or discontent
24943,content
11549,content
82667,neutral or discontent
1097,neutral or discontent
99288,neutral or discontent
82724,content
26258,neutral or discontent
75160,content
66685,neutral or discontent
28777,content
102597,content
82172,neutral or discontent
73259,neutral or discontent
47873,neutral or discontent
65196,neutral or discontent
25415,neutral or discontent
37302,neutral or discontent
96254,content
3029,neutral or discontent
78149,neutral or discontent
120152,content
128690,neutral or discontent
32172,content
55884,content
40279,neutral or discontent
113444,neutral or discontent
4711,neutral or discontent
38762,content
8886,neutral or discontent
4592,neutral or discontent
1769,content
84160,content
113068,neutral or discontent
30358,content
79354,neutral or discontent
61539,neutral or discontent
3755,neutral or discontent
99310,neutral or discontent
90659,content
127382,content
46847,neutral or discontent
124634,neutral or discontent
46253,neutral or discontent
16122,neutral or discontent
126727,content
1754,content
3384,neutral or discontent
22289,neutral or discontent
98857,neutral or discontent
87655,content
124021,neutral or discontent
56195,neutral or discontent
49827,neutral or discontent
123651,neutral or discontent
101143,neutral or discontent
38685,content
747,content
73934,neutral or discontent
83816,content
111415,neutral or discontent
21222,neutral or discontent
34485,content
68436,content
24992,content
111889,neutral or discontent
32063,neutral or discontent
85526,content
99328,neutral or discontent
110853,content
75309,content
33223,neutral or discontent
84682,neutral or discontent
117534,content
86837,neutral or discontent
88319,content
45993,neutral or discontent
44867,neutral or discontent
123906,neutral or discontent
95175,neutral or discontent
50039,neutral or discontent
2537,content
62051,neutral or discontent
66913,content
67653,content
5437,content
114848,content
32866,neutral or discontent
27601,neutral or discontent
850,neutral or discontent
73034,neutral or discontent
119359,neutral or discontent
107819,content
98879,neutral or discontent
115334,neutral or discontent
1415,neutral or discontent
39685,neutral or discontent
35737,content
107533,content
14244,content
120273,neutral or discontent
73725,content
53440,content
12607,neutral or discontent
91384,neutral or discontent
10149,neutral or discontent
103826,neutral or discontent
69047,content
127135,neutral or discontent
54848,content
6384,neutral or discontent
40509,neutral or discontent
88347,content
56364,content
107766,neutral or discontent
12727,neutral or discontent
47868,neutral or discontent
12501,neutral or discontent
108950,content
92388,content
41423,neutral or discontent
125872,content
94382,content
63749,neutral or discontent
111437,content
72933,content
122376,neutral or discontent
3527,neutral or discontent
120914,content
16543,content
7242,content
62653,neutral or discontent
113818,neutral or discontent
23516,neutral or discontent
80175,neutral or discontent
127894,content
101891,content
53949,neutral or discontent
21167,content
60052,neutral or discontent
71429,content
66283,content
96607,content
36951,neutral or discontent
43327,content
77910,neutral or discontent
4173,neutral or discontent
29753,neutral or discontent
111942,content
34323,neutral or discontent
104279,neutral or discontent
59353,content
86577,neutral or discontent
29642,content
127522,content
29336,content
128071,content
65901,neutral or discontent
9044,content
116231,neutral or discontent
48489,content
87487,content
86240,neutral or discontent
42095,content
105372,content
110095,neutral or discontent
126644,neutral or discontent
86887,content
26308,content
15130,content
87216,neutral or discontent
104588,content
117916,content
8179,neutral or discontent
76276,neutral or discontent
128544,content
42873,neutral or discontent
63826,content
20148,neutral or discontent
63456,content
1193,neutral or discontent
3562,neutral or discontent
36547,neutral or discontent
77972,content
39634,neutral or discontent
127396,neutral or discontent
106999,neutral or discontent
51460,neutral or discontent
41763,neutral or discontent
123276,neutral or discontent
89112,neutral or discontent
25845,content
61393,neutral or discontent
17104,neutral or discontent
85863,neutral or discontent
52230,content
63636,neutral or discontent
8124,neutral or discontent
29363,content
984,content
18308,neutral or discontent
117293,content
125027,neutral or discontent
127739,content
29104,neutral or discontent
6408,neutral or discontent
30558,neutral or discontent
87346,content
119990,neutral or discontent
65797,content
112003,neutral or discontent
102378,neutral or discontent
19449,neutral or discontent
12070,content
15231,neutral or discontent
88544,neutral or discontent
83549,neutral or discontent
87267,content
29010,neutral or discontent
107641,content
93678,neutral or discontent
26212,content
9092,content
41924,content
94129,content
106650,neutral or discontent
111617,neutral or discontent
19025,neutral or discontent
32299,content
1178,neutral or discontent
55267,neutral or discontent
88983,neutral or discontent
89605,content
95439,content
12448,neutral or discontent
26858,neutral or discontent
86312,neutral or discontent
126217,neutral or discontent
124793,neutral or discontent
79,content
120831,neutral or discontent
57679,content
89648,neutral or discontent
114588,neutral or discontent
123966,content
121670,neutral or discontent
46690,neutral or discontent
1480,neutral or discontent
77238,neutral or discontent
64787,neutral or discontent
117807,content
40745,content
66529,neutral or discontent
113901,neutral or discontent
84032,neutral or discontent
106587,neutral or discontent
7191,neutral or discontent
114205,neutral or discontent
89049,content
69747,neutral or discontent
102108,neutral or discontent
126152,neutral or discontent
47774,content
121603,neutral or discontent
9293,neutral or discontent
41133,neutral or discontent
73420,neutral or discontent
80170,neutral or discontent
52243,neutral or discontent
9689,content
29988,content
59150,content
106249,neutral or discontent
14402,neutral or discontent
57616,content
102247,neutral or discontent
108683,content
30154,neutral or discontent
18742,content
23525,content
54569,neutral or discontent
124716,neutral or discontent
75828,content
100561,content
108934,neutral or discontent
118859,neutral or discontent
37796,neutral or discontent
107537,content
107665,content
63689,neutral or discontent
121840,neutral or discontent
6399,neutral or discontent
26465,neutral or discontent
69855,neutral or discontent
117113,content
60127,neutral or discontent
87232,neutral or discontent
15965,neutral or discontent
16941,neutral or discontent
43733,neutral or discontent
23499,content
123327,neutral or discontent
81544,neutral or discontent
39344,neutral or discontent
105561,content
110434,content
117449,neutral or discontent
69563,neutral or discontent
